timestamp,elapsed_seconds,max_rss_kb,cpu_user_seconds,cpu_system_seconds,voluntary_ctxsw,involuntary_ctxsw,command
20260223T024205Z,0.01,9188,0.00,0.00,165,2,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T024241Z,0.00,9236,0.00,0.00,164,1,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T024254Z,0.01,9228,0.00,0.00,165,1,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T025623Z,0.01,9192,0.00,0.00,165,0,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T025639Z,0.01,9276,0.00,0.00,165,0,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T025723Z,0.01,9244,0.00,0.00,164,8,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T025904Z,0.01,9244,0.00,0.00,165,2,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T025930Z,0.01,9256,0.00,0.00,169,4,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T040438Z,0.00,9196,0.00,0.00,169,3,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T040550Z,0.00,9144,0.00,0.00,168,1,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
20260223T054922Z,0.00,9384,0.00,0.00,184,1,"/home/dcalford/CliWork/ScratchBird-driver/tracks/alpha/drivers/odbc/build_odbc_gate/scratchbird_odbc_tests"
