lane,label,source_type,url,download_path,retrieved_on,download_status,repo_head,content_type
cpp,libpqxx docs,selected_docs,https://libpqxx.readthedocs.io/stable/,docs/reference/best_in_class_driver_research_2026-04-03/cpp/downloads/01_libpqxx_docs.html,2026-04-03,downloaded,,text/html
cpp,libpqxx repo,selected_repo,https://github.com/jtv/libpqxx,docs/reference/best_in_class_driver_research_2026-04-03/cpp/downloads/02_libpqxx_repo.html,2026-04-03,downloaded,refs/heads/master 0314658cdc693d9d223490aecf0932b81854d13e,text/html
cpp,SOCI repo,candidate_repo,https://github.com/SOCI/soci,docs/reference/best_in_class_driver_research_2026-04-03/cpp/downloads/03_SOCI_repo.html,2026-04-03,downloaded,refs/heads/master 897dac8f9cb327eb24827731e569fadd32ae53d4,text/html
cpp,nanodbc docs,candidate_docs,https://nanodbc.github.io/nanodbc/,docs/reference/best_in_class_driver_research_2026-04-03/cpp/downloads/04_nanodbc_docs.html,2026-04-03,downloaded,,text/html
cli,psql docs,selected_docs,https://www.postgresql.org/docs/current/app-psql.html,docs/reference/best_in_class_driver_research_2026-04-03/cli/downloads/01_psql_docs.html,2026-04-03,downloaded,,text/html
cli,PostgreSQL repo,selected_repo,https://github.com/postgres/postgres,docs/reference/best_in_class_driver_research_2026-04-03/cli/downloads/02_PostgreSQL_repo.html,2026-04-03,downloaded,refs/heads/master d438a36591c58f60e0748b341855ec5519e1e3b4,text/html
cli,usql repo,candidate_repo,https://github.com/xo/usql,docs/reference/best_in_class_driver_research_2026-04-03/cli/downloads/03_usql_repo.html,2026-04-03,downloaded,refs/heads/main f7d0fbe808a87e9f6c726e5de2cec1fa284e88f5,text/html
cli,mycli project,candidate_docs,https://www.mycli.net/,docs/reference/best_in_class_driver_research_2026-04-03/cli/downloads/04_mycli_project.html,2026-04-03,downloaded,,text/html
cli,mycli repo,candidate_repo,https://github.com/dbcli/mycli,docs/reference/best_in_class_driver_research_2026-04-03/cli/downloads/05_mycli_repo.html,2026-04-03,downloaded,refs/heads/main 788a59113a6251dac077995573439e6da2813741,text/html
dart,pub.dev postgres,selected_docs,https://pub.dev/packages/postgres,docs/reference/best_in_class_driver_research_2026-04-03/dart/downloads/01_pub.dev_postgres.html,2026-04-03,downloaded,,text/html
dart,postgresql-dart repo,selected_repo,https://github.com/isoos/postgresql-dart,docs/reference/best_in_class_driver_research_2026-04-03/dart/downloads/02_postgresql-dart_repo.html,2026-04-03,downloaded,refs/heads/master 43345da8f52f15a395c215ca593920b144f5ad25,text/html
dart,mysql1 package,candidate_docs,https://pub.dev/packages/mysql1,docs/reference/best_in_class_driver_research_2026-04-03/dart/downloads/03_mysql1_package.html,2026-04-03,downloaded,,text/html
dart,sqlite3 package,candidate_docs,https://pub.dev/packages/sqlite3,docs/reference/best_in_class_driver_research_2026-04-03/dart/downloads/04_sqlite3_package.html,2026-04-03,downloaded,,text/html
dbeaver,DBeaver driver docs,selected_docs,https://dbeaver.com/docs/dbeaver/Database-drivers/,docs/reference/best_in_class_driver_research_2026-04-03/dbeaver/downloads/01_DBeaver_driver_docs.html,2026-04-03,downloaded,,text/html
dbeaver,DBeaver PostgreSQL plugin,selected_repo,https://github.com/dbeaver/dbeaver/tree/devel/plugins/org.jkiss.dbeaver.ext.postgresql,docs/reference/best_in_class_driver_research_2026-04-03/dbeaver/downloads/02_DBeaver_PostgreSQL_plugin.postgresql,2026-04-03,downloaded,,text/html
dbeaver,DBeaver MySQL plugin,candidate_repo,https://github.com/dbeaver/dbeaver/tree/devel/plugins/org.jkiss.dbeaver.ext.mysql,docs/reference/best_in_class_driver_research_2026-04-03/dbeaver/downloads/03_DBeaver_MySQL_plugin.mysql,2026-04-03,downloaded,,text/html
dbeaver,DBeaver SQL Server plugin,candidate_repo,https://github.com/dbeaver/dbeaver/tree/devel/plugins/org.jkiss.dbeaver.ext.mssql,docs/reference/best_in_class_driver_research_2026-04-03/dbeaver/downloads/04_DBeaver_SQL_Server_plugin.mssql,2026-04-03,downloaded,,text/html
dotnet,Npgsql docs,selected_docs,https://www.npgsql.org/doc/index.html,docs/reference/best_in_class_driver_research_2026-04-03/dotnet/downloads/01_Npgsql_docs.html,2026-04-03,downloaded,,text/html
